,movieCd,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,previous_show,previous_audience,final_audience
44,20172742,3.7,4.7,5.6,4.7,6.6,3.6,4.7,61.3,9.14,28441,154,156,30408,6880535
45,20072152,6,4.2,5.6,7.9,6.6,4.6,5.8,76.5,7.73,19786,276,647,83405,6686054
46,20124054,3.7,4.8,5.6,3.8,6.6,4.6,5.8,58.5,8.64,34556,18,24,4855,6655068
47,20161481,6,4.7,5.6,5.8,6.6,4.6,5.8,80.1,5.28,53873,93,98,21629,6592151
48,20112703,6,4.8,4.2,5.8,7.2,4.6,5.1,64.7,9.01,25227,3,3,863,6399303
49,20100214,4.5,3.8,5.6,5.8,3.6,3.6,5.8,74,9.22,27834,27,32,4685,6178617
50,20148846,4.1,4.5,5.6,7.9,6.6,5.3,7.1,89.6,8.23,21271,61,63,14455,6247651
51,20090077,5.2,3.8,5.6,5.8,6.6,5.3,5.8,79.2,8.18,19656,453,1087,50525,6065474
52,20157881,6,4.4,4.2,5.8,6.6,4.6,4.3,55.3,8.74,14653,6,6,1251,6126488
53,20140110,3.5,4.5,4.2,5.8,6.6,3.6,4.6,43.7,8.82,22314,59,59,6418,6129681
54,20134798,4.5,4.4,5.6,3.8,6.6,5.3,5,75,8.99,29732,77,81,9223,6044956
55,20100312,6,3.8,4.2,3.8,6.6,5.3,5.1,37.9,9.21,24692,11,20,61,5835017
56,20128274,5.2,4.8,4.2,3.8,7.2,5.3,3.8,58.2,8.34,22535,374,819,59207,5920977
57,20162442,4.5,4.7,5.6,5.8,3.6,4.6,4.3,65.2,8.37,19016,185,192,36656,5653270
58,20136049,4.5,5,5.6,4.7,3.6,4.6,5,68.2,6.81,13468,83,84,17990,5604106
59,20150979,4.5,4.3,5.6,7.9,6.6,5.3,4.3,49.4,8.38,22677,89,90,14943,5599665
60,20136052,6,5,5.6,4.7,3.6,4.6,4.3,63.2,8.27,17269,648,1050,127256,5584139
61,20098169,4.5,4.4,4.2,5.8,6.6,5.3,3.8,67,7.88,18235,7,8,2761,5546823
62,20090904,3.5,3.8,5.6,3.8,3.6,4.6,7.1,86.2,8.86,14316,126,132,17882,5416829
63,20122783,6,5,5.6,4.7,3.6,4.6,5,72.1,7.77,13403,50,51,12185,5508299
64,20090685,4,3.8,4.2,5.1,7.2,5.3,4.6,67.3,7.63,12074,19,33,1021,5397597
65,20163181,3.7,4.4,4.2,5.8,3.6,5.3,7.5,70,8.71,18599,1175,2755,118546,5446379
66,20145503,4,4.4,5.6,3.4,3.6,4.6,5.8,73,8.31,21321,38,39,7584,5443049
67,20170561,3.5,5.8,4.2,5.8,6.6,5.3,7.5,84,7.51,16385,11,11,3023,5399070
68,20151229,4.3,4.3,5.6,4.7,6.6,4.6,5,69.5,8.09,21775,69,72,14012,5317693
69,20112695,3.7,4,5.6,3.8,3.6,5.3,5.8,85,8.77,9534,462,786,68509,5311353
70,20122021,4.5,4.5,4.2,5.8,7.2,5.3,5.8,58.1,6.6,17274,14,14,3864,5295836
71,20177478,4,5.8,4.2,5.8,6.6,5.3,7.5,114.9,8.97,33553,1,1,624,11206127
72,20122122,4.5,5,4.2,3.8,3.6,4.6,4.3,42.7,8.2,13385,17,17,3348,5237525
73,20124039,5.2,4.8,5.6,3.8,6.6,5.3,5.8,68,8.04,14145,414,1142,121532,5181014
74,20164721,3.4,4.7,4.2,3.8,6.6,3.3,7.5,72,8.79,18069,7,7,2493,5138328
75,20080046,3.5,4.2,5.6,4.7,6.6,3.6,7.1,71.1,9.09,16636,42,43,7067,5046096
76,20110511,4.6,4,4.2,3.1,3.6,3.3,5.8,51.8,8.72,4034,0,0,0,5064796
77,20151225,6,4.5,4.2,3.1,3.6,3.3,7.5,56.7,9.06,18120,10,12,2534,4969735
78,20175222,4.1,4.7,4.2,5.8,6.6,3.6,4.6,57.2,8.4,20281,13,16,5735,4945484
79,20124067,4.5,4.8,5.6,4,6.6,5.3,5,61.5,7.59,8153,95,98,20893,4909950
80,20151383,3.7,4.4,4.2,5.8,6.6,5.3,4.6,50.7,8.41,15626,42,42,10011,4881865
81,20175121,3.7,4.7,4.2,5.8,6.6,5.3,7.5,60.4,8.83,16880,7,7,2511,4857152
82,20126077,4.5,4.8,4.2,5.8,6.6,5.3,4.6,41.2,7.75,9044,9,23,5356,4853273
83,20141111,4,4.5,5.6,2.9,2.5,3.3,5.8,36.4,9.23,15330,67,68,6198,4801873
84,20102414,4.3,3.8,5.6,4,3.6,5.3,7.1,69.6,8.13,9741,88,90,13353,4786259
85,20123501,6,5,5.6,7.9,6.6,4.6,7.1,70.9,6.92,25964,66,72,13964,4775811
86,20113557,3.5,4,5.6,4.7,6.6,3.6,7.1,64,8.6,7472,56,57,11076,4720050
87,20155501,3.5,4.4,4.2,3.1,3.6,3.3,7.5,38.9,9.35,18310,42,43,10460,4706158
88,20148807,4.5,4.5,4.2,5.8,3.6,5.3,5.1,36.6,8.93,16520,485,1384,80680,4699307
89,20124401,3.5,4.8,5.6,4.7,6.6,3.6,5,58,8.89,20848,35,35,9191,4682492
90,20080653,4.5,4.2,4.2,3.1,3.6,3.3,5.8,68.3,9.02,7981,10,11,2071,4654266
91,20162365,4,4.3,4.2,5.2,6.6,5.3,5.1,58.7,8.21,15424,6,8,2484,4667179
92,20112534,4.1,4,5.6,3.8,6.6,3.6,5.8,62,9.26,10165,533,843,102324,4662926
93,20113554,4.6,4.8,5.6,4,6.6,4.6,5,55.7,8.55,8753,564,1104,97689,4598985
94,20144641,5.2,4.3,5.6,3.8,6.6,5.3,5,60.9,8.36,19143,76,78,18372,4584800
95,20090238,4.6,3.8,4.2,5.1,3.6,4.6,4.3,38.7,8.18,8259,14,15,2567,4499776
96,20081169,4.1,4.2,4.2,3.8,3.6,5.3,3.8,26.6,8.44,5837,515,1875,147107,4578239
97,20124062,6,4.8,5.6,3.4,3.6,4.6,5.8,60.9,7.22,12910,23,27,4236,4515833
98,20090933,4,3.8,4.2,5.1,6.6,5.3,5.8,52,7.35,6507,28,33,5951,4425003
99,20170402,5.2,4.7,5.6,5.8,6.6,4.6,5,50.5,8.36,18879,90,99,16112,4452755
100,20111009,6,4,4.2,5.2,6.6,3.3,5.1,35.4,9.31,11866,2,4,1160,4421210
101,20080396,4,4.2,4.2,5.1,6.6,5.3,5.8,50.7,8.88,10332,13,13,2780,4300365
102,20147669,4.6,4.5,4.2,5.8,6.6,5.3,4.6,55,8.87,14056,732,1738,91295,4313871
103,20080736,4.5,4.2,5.6,3.8,6.6,4.6,5.8,60.3,8.53,6143,350,854,55577,4313102
104,20144444,4.5,4.3,5.6,4.7,6.6,3.6,5.8,67.7,7.09,23257,52,55,10768,4288750
105,20135661,4,4.5,4.2,5.8,6.6,5.3,7.5,46.2,7.76,13089,12,12,3203,4168353
106,20070675,4.6,4.2,4.2,5.8,6.6,5.3,5.8,33.1,7.43,4416,13,15,2327,4111753
107,20124938,5.2,5,5.6,5.8,6.6,4.6,7.1,63.6,8.35,10550,84,92,19615,4131338
108,20124074,3.4,4.8,5.6,3.8,3.6,5.3,4.3,63.7,8.65,14694,845,1354,85077,4112608
109,20080996,6,4.2,4.2,5.8,3.6,5.3,3.8,35.9,5.69,5675,1,3,106,4090885
110,20081737,4,4.2,5.6,4,3.6,5.3,4.3,60.2,8.28,9094,472,483,43722,4039891
111,20081056,4.5,4.2,4.2,4.7,7.2,4.6,2.5,63,9.32,26010,318,797,60283,4175526
112,20113743,4.3,4,5.6,4,6.6,5.3,5.8,59.4,8.88,6192,75,86,14333,4058225
113,20070382,4.3,3.3,5.6,3.8,6.6,3.3,2.5,55.3,8.58,8318,65,91,15688,4018872
114,20165748,4,4.7,5.6,4.7,3.6,4.6,7.1,61.4,7.65,12340,185,189,38739,4018341
115,20148973,6,4.5,4.2,5.8,6.6,5.3,4.6,37.6,8.53,12525,3,4,990,4002560
116,20134804,4.1,4.5,5.6,3.8,6.6,3.6,4.3,57.7,7.27,15768,72,84,16803,4015361
117,20151803,4.3,4.4,4.2,3.1,3.6,3.3,5.8,57,8.63,9577,11,11,2455,3984814
118,20147790,3.4,4.5,4.2,5.8,6.6,4.6,7.5,46.4,8.92,12697,3,3,932,3963251
119,20124935,4.3,4.8,5.6,4,6.6,4.6,7.1,55.3,8.09,11136,40,40,10240,3897969
120,20149570,3.5,4.5,5.6,7.9,6.6,5.3,7.1,54.7,7.67,8506,34,34,8202,3872015
121,20139183,4,4.5,5.6,7.9,6.6,4.6,4.3,47.5,7.06,17122,35,35,6366,3849700
122,20144741,4.6,4.4,4.2,5.8,6.6,4.6,5.1,52.2,8.76,19127,19,19,3958,3871214
123,20165450,3.7,4.7,5.6,7.9,6.6,4.6,5.8,61.8,8.02,16223,146,155,28918,3849129
124,20081716,5.2,4.2,5.6,3.8,6.6,3.6,7.1,59,7.22,10498,30,75,15739,3749034
125,20081001,4.1,4.2,5.6,7.9,6.6,4.6,5.8,52.3,8.3,7802,1269,3594,272700,3728439
126,20166488,4.5,4.7,4.2,5.8,3.6,4.6,3.8,58,7.24,13784,2,2,553,3689325
127,20167542,4,4.7,4.2,5.8,6.6,4.6,3.8,43.1,8.97,11021,2,2,503,3653238
128,20161872,4.3,4.3,2.3,3.1,3.6,5.3,4.7,56,8.75,31225,560,700,74239,3711224
129,20152022,4.1,4.4,4.2,4,6.6,5.3,5.1,54.5,8.97,13659,42,42,4306,3611166
130,20161364,3.5,4.4,5.6,3.8,6.6,4.6,4.7,56,9.16,20843,46,47,11054,3587182
131,20112173,3.7,3.8,4.2,5.8,6.6,5.3,4.6,21.2,9.06,12184,570,1320,84003,3579666
132,20167904,5.2,4.3,4.2,3.8,6.6,5.3,3,49.3,8.59,22962,18,18,5172,3496526
133,20139201,6,4.5,5.6,4.7,3.6,3.6,7.1,51.9,8.04,11815,534,1320,73945,3566852
134,20179985,4.3,4.7,4.2,3.1,6.6,3.3,7.5,39.6,9.23,14457,48,50,10730,3513137
135,20113535,4.3,4,5.6,3.8,3.6,4.6,5,56.5,8.92,7344,83,83,18184,3460212
136,20130442,4.6,5,5.6,5.8,3.6,4.6,7.1,43.6,9,14290,300,300,26472,3450305
137,20149629,4.5,5,4.2,3.8,3.6,4.6,3,50.4,9.02,18048,46,46,9215,3429640
138,20124086,4.1,4.8,5.6,5.8,6.6,4.6,5.8,54.9,6.97,5813,120,128,25297,3436092
139,20176104,4.3,4.7,5.6,4,6.6,5.3,5.8,46.4,8.92,13836,126,128,22707,3418403
140,20100209,6,3.8,5.6,3.8,7.2,3.6,5.8,44.3,7.02,8015,37,38,3197,3350311
141,20100296,4.5,3.8,5.6,3.8,6.6,5.3,4.3,45,8.22,19743,550,1181,134785,3330326
142,20113885,4.6,4.8,4.2,5.8,3.6,5.3,4.6,46.9,8.16,4888,6,22,5560,3379762
143,20135428,5.2,5,2.5,3.8,6.6,4.6,3.8,27.8,9.15,13758,319,414,26340,3396313
144,20173403,6,4.7,4.2,3.1,3.6,3.3,3.8,30.1,8.69,8847,5,5,1370,3324874
145,20153781,3.5,4.3,4.2,5.8,3.6,3.6,4.6,53,8.21,15184,1085,3076,186267,3317196
146,20174142,4.1,4.7,5.6,4,3.6,5.3,4.3,50,9.35,13883,157,162,31512,3280993
147,20154141,5.2,4.4,4.2,5.8,6.6,5.3,7.5,55.7,7.76,12822,7,9,2500,3273879
148,20143580,4,4.4,4.2,5.8,6.6,4.6,3.8,33.3,9.11,9465,1,1,397,3248904
149,20141384,6,4.4,4.2,5.8,6.6,4.6,4.3,48,7.71,9503,2,2,999,3240370
150,20139221,3.7,5,4.2,5.1,3.6,5.3,5.1,27.9,8.27,12990,9,10,2613,3227647
151,20110294,4.6,4,4.2,5.8,6.6,5.3,4.6,34.9,8.1,5471,12,12,2670,3130046
152,20110290,6,4,5.6,4,3.6,4.6,5.8,55.3,7.87,9659,397,625,60106,3125069
153,20124937,4.5,5,5.6,3.8,6.6,4.6,2.5,59.3,7.06,12167,647,1067,126800,3117859
154,20150203,6,4.3,4.2,4.7,6.6,5.3,4.3,50.8,8.32,12444,1490,3431,303125,3100113
155,20090914,4.3,3.8,5.6,3.8,3.6,5.3,5.8,52.5,9.06,13252,48,54,4308,3018154
156,20090297,4.5,3.8,5.6,3.8,3.6,4.6,7.1,57,8.43,5794,45,46,1644,3024666
157,20170982,4.6,4.7,4.2,5.8,6.6,5.3,7.5,53,8.3,9299,4,5,1859,3049894
158,20148845,3.4,4.5,5.6,4,3.6,4.6,5,59,7.65,9279,167,167,18501,3044859
159,20138355,3.7,5,4.2,5.8,3.6,5.3,7.5,45.2,8.38,4682,2,2,652,3039889
160,20090927,4.5,3.8,5.6,7.9,6.6,3.6,5.8,44.4,7.36,3794,36,37,6264,2985556
161,20090248,4.6,3.8,5.6,3.8,6.6,3.6,5.8,41.5,8.01,9314,32,33,7050,2979805
162,20136962,6,4.8,4.2,5.8,3.6,4.6,4.3,51,8,5535,6,6,1337,3004649
163,20090379,6,3.8,4.2,5.2,7.2,3.3,5.1,35.4,6.83,10470,0,0,0,2957736
164,20113381,5.2,4,5.6,3.4,3.6,5.3,5.8,54.6,8.55,6846,56,61,7826,3009406
165,20131248,6,4.5,4.2,3.1,3.6,3.3,5.8,39,8.93,9470,27,28,4029,3000115
166,20154661,4,4.3,5.6,4,3.6,5.3,5.8,43.7,8.34,10539,92,99,20515,2982230
167,20137044,4,5,5.6,5.8,6.6,3.6,4.3,54,6.24,7483,37,43,8124,2971475
168,20088506,4,4.8,5.6,5.8,6.6,4.6,2.5,43.2,6.37,52358,101,108,25561,2963652
169,20081727,4.3,3.8,5.6,2.9,2.5,3.3,2.5,43.3,8.69,6480,8,8,417,2934795
170,20119515,6,4,5.6,3.8,6.6,4.6,7.1,42,8.64,10434,392,616,73808,2945151
171,20150523,4.6,4.3,4.2,5.8,6.6,5.3,4.6,43.3,8.2,13812,20,21,4457,2938818
172,20162181,3.4,4.3,5.6,4.7,6.6,3.6,7.1,43.5,7.59,9537,1004,2563,108154,2931897
173,20100370,6,3.8,4.2,4.7,3.6,4.6,4.6,20.3,7.7,4365,446,871,41359,2869938
174,20101223,5.2,3.8,5.6,4,3.6,5.3,5,47.5,8.87,12513,112,127,19647,3019960
175,20080847,4.5,4.2,4.2,4.7,3.6,3.6,3.8,31.4,8.23,5353,297,831,61017,2858750
176,20148855,4.5,4.5,5.6,3.8,3.6,4.6,7.1,48,8.09,7437,34,37,6663,2860786
177,20139164,4,4.5,5.6,5.8,3.6,4.6,5.8,43.4,7.5,8165,34,34,7010,2841828
178,20155702,4.1,4.4,4.2,5.8,3.6,5.3,7.5,35.5,8.61,8700,4,5,1778,2847340
179,20140226,5.2,4.5,4.2,5.2,6.6,5.3,5.1,46.5,8.48,9383,11,11,2295,2836774
180,20125048,5.2,4.8,4.2,5.2,7.2,5.3,5.1,46.5,8.42,8925,3,4,1060,2818993
181,20140431,4.1,4.5,4.2,5.8,3.6,5.3,4.6,41.8,8.29,10421,24,24,5216,2812427
182,20101224,5.2,3.8,4.2,3.4,6.6,3.3,5.1,35.4,8.2,6658,2,3,0,2853500
183,20149951,4.3,4.5,4.2,3.1,3.6,3.3,7.5,46,9.11,10771,43,191,9606,2801949
184,20164621,6,4.7,4.2,5.8,3.6,5.3,5.1,42.7,8.3,17648,39,39,6021,2792705
185,20110896,4.5,4,4.2,5.8,3.6,5.3,4.6,30.6,8.77,7041,700,1073,120984,2773794
186,20100213,3.7,3.8,5.6,4.7,3.6,3.6,5.8,64.4,8.66,6211,43,45,767,2723028
187,20150622,4.1,4.4,4.2,5.8,6.6,5.3,4.6,35,8.07,10270,43,44,8833,2744413
188,20163603,4.6,4.7,4.2,5.8,6.6,5.3,7.5,42.8,8.93,11228,1037,2568,148489,2735721
189,20100834,4.1,3.8,5.6,3.8,6.6,5.3,4.3,40.8,8.73,9668,841,1980,77282,2684798
190,20080873,6,4.2,4.2,5.8,3.6,5.3,4.6,23.6,7.33,4260,2,4,292,2722574
191,20124075,4,4.8,5.6,5.8,3.6,3.6,7.1,44.3,8.49,11464,475,688,62074,2729827
192,20138881,4.5,5,4.2,4.7,3.6,5.3,4.3,43.8,8.04,9586,22,22,4736,2718237
193,20164501,4.1,4.3,4.2,3.4,6.6,5.3,4.6,45,8.46,11477,13,17,3209,2718158
194,20090015,4.3,4.2,2.3,5.8,6.6,4.6,7.1,42.3,7.04,3052,57,101,17040,2694436
195,20090427,4.5,3.8,4.2,5.8,3.6,4.6,5.8,40,7.65,6052,296,905,61632,2665886
196,20100018,4,3.8,4.2,5.8,3.6,5.3,5.1,33.5,6.31,5611,2,4,56,2642483
197,20180804,3.4,4.7,5.6,3.4,3.6,4.6,7.1,48,6.49,15787,379,623,68083,2675618
198,20134582,3.7,5,5.6,3.8,6.6,5.3,4.3,50.4,9.32,8366,236,239,48186,2711094
199,20154909,4.1,4.3,5.6,4.7,3.6,4.6,7.1,53.9,7.72,10657,16,17,4720,2658589
200,20126469,4,4.8,4.2,3.8,3.6,4.6,5,33.8,8.71,7033,7,7,1751,2654817
201,20156557,4.1,4.4,5.6,4,6.6,4.6,5.8,41.6,8.47,8567,200,200,24775,2625686
202,20145361,6,4.4,4.2,3.1,3.6,3.3,3.8,32.4,7.93,7880,11,13,2053,2625636
203,20113533,4.5,4.8,5.6,7.9,6.6,3.6,4.3,41.5,6.8,4466,492,1179,87465,2636385
204,20166967,4.5,4.3,4.2,5.8,7.2,5.3,4.3,31.3,6.33,14119,4,5,1839,2614601
205,20161907,6,4.3,4.2,5.8,6.6,4.6,3.8,36.9,8.39,14408,2,2,555,2611966
206,20100190,4.6,3.8,4.2,3.1,3.6,3.3,5.8,26.4,9.33,8631,140,364,63816,2571814
207,20159058,6,4.3,4.2,3.1,3.6,3.3,7.5,30.6,8.52,9038,8,8,2654,2601761
208,20170669,3.4,4.7,5.6,3.8,6.6,5.3,4.3,46.2,8.72,12300,124,130,22580,2601572
209,20119618,3.4,4,5.6,4,3.6,5.3,4.3,47,7.61,3890,1010,2095,137323,2595625
210,20153443,4.1,4.3,5.6,4.7,6.6,3.6,5.8,46.2,6.27,22587,111,122,24846,2594420
211,20090605,3.7,3.8,5.6,4,6.6,3.3,5.8,39,6.68,5002,32,38,5714,2554960
212,20162722,4.6,4.3,5.6,4.7,3.6,4.6,4.3,37.3,7.9,9185,123,123,22154,2588628
213,20149265,5.2,4.5,5.6,4.7,3.6,4.6,4.3,51,7.11,8888,546,1409,63883,2564340
214,20136961,6,5,4.2,5.8,6.6,5.3,5.1,29.5,7.65,14509,7,7,2085,2539113
215,20110561,4.5,3.8,4.2,5.8,6.6,5.3,4.6,39.3,9.05,6053,355,801,27764,2534979
216,20162967,4.5,4.4,4.2,5.2,3.6,5.3,7.5,49.7,8.44,7980,20,24,6872,2537438
217,20156082,4.5,4.3,4.2,3.1,3.6,3.3,3.8,43.3,8.58,9246,16,16,3370,2520700
218,20150964,3.5,4.3,5.6,4.7,6.6,4.6,5.8,43,8.04,16267,84,98,18203,2515501
219,20124399,5.2,4.8,5.6,3.8,6.6,4.6,5,45,8.57,10298,418,829,62365,2475797
220,20174061,4.6,4.7,4.2,3.1,3.6,3.3,5.8,38.3,8.67,6804,9,9,2222,2452245
221,20124050,3.4,4,5.6,3.4,3.6,4.6,2.5,45.8,7.91,6429,30,36,6386,2436884
222,20125920,4.5,4.8,5.6,4.7,3.6,3.6,4.3,41.3,7.52,5607,40,40,8131,2434435
223,20179205,3.5,4.7,5.6,7.9,6.6,5.3,7.1,51.7,6.67,8386,199,202,35646,2444180
224,20166421,3.5,4.3,5.6,3.8,3.6,4.6,3.7,43.5,8.49,8044,60,63,13133,2421197
225,20110613,4.1,4,5.6,4.7,6.6,4.6,7.1,47.3,8.02,4702,470,788,77796,2393103
226,20123383,3.7,5,5.6,5.8,6.6,3.6,7.1,55.5,7.82,6219,31,31,7632,2394487
227,20080337,4,4.2,2.5,4.7,3.6,3.6,2.5,22.5,9.2,11480,17,17,840,2359061
228,20113461,3.7,4,4.2,5.8,6.6,4.6,7.5,41.1,7.86,6003,4,4,987,2376266
229,20112272,4.1,4,5.6,4,3.6,4.6,5,45,4.14,3735,496,819,85209,2368267
230,20110297,4.5,4,5.6,4.7,3.6,3.6,5,44,8.09,7602,237,325,33848,2367942
231,20178982,4.5,4.7,5.6,3.8,6.6,5.3,4.7,39.3,8.09,9416,116,119,19175,2359273
232,20081611,4,4.2,5.6,7.9,3.6,3.6,5.8,45,6.28,4221,27,38,6171,2342579
233,20101209,5.2,3.8,5.6,4,3.6,5.3,5.8,48,6.25,17806,1,2,26,2541603
234,20158621,4.6,4.4,4.2,5.8,6.6,4.6,4.6,23.6,8.78,8699,136,136,13198,2318748
235,20165443,4.3,4.3,4.2,3.1,3.6,3.3,7.5,38.1,9.15,10732,23,23,5083,2310206
236,20128447,4.1,4.8,2.5,5.8,3.6,3.6,4.6,29.6,6.98,3666,12,12,2604,2308646
237,20175054,4.3,4.7,4.2,5.8,6.6,5.3,4.6,35,7.88,9912,26,26,4961,2299751
238,20134267,5.2,5,4.2,5.2,7.2,5.3,5.1,44,8.48,5462,3,3,798,2282744
239,20100310,4.5,3.8,4.2,5.8,3.6,4.6,4.6,25.4,8.35,3935,352,818,22819,2243484
240,20131381,4.1,5,4.2,3.4,3.6,4.6,5.1,28.9,7.85,7149,48,49,5783,2262758
241,20100333,6,3.8,4.2,3.1,3.6,3.3,5.8,42,8.03,1445,0,0,0,2224118
242,20081366,3.7,4.2,4.2,5.8,3.6,5.3,5.8,33.1,7.96,4439,17,24,3739,2292172
243,20152781,3.4,4.3,4.2,5.8,7.2,5.3,5.1,31,6.86,14040,394,408,18850,2256913
244,20171122,3.4,5.8,4.2,5.8,6.6,5.3,5.1,39.3,8.57,12377,9,9,3547,2254236
245,20112134,4,4.8,4.2,5.1,6.6,5.3,3.8,37.4,7.45,10649,329,755,43322,2241687
246,20112621,5.2,4,4.2,5.8,6.6,4.6,5.1,30.6,8,2833,12,12,2607,2239156
247,20081003,4,4.2,5.6,3.4,6.6,3.6,5.8,48.9,6.13,12990,9,15,2546,2206948
248,20119513,4.5,4,5.6,5.1,3.6,4.6,5.8,43.7,3.35,20202,92,109,14629,2242510
249,20090856,5.2,3.8,4.2,3.4,6.6,5.3,5.1,30.6,8.19,5383,2,3,29,2184425
250,20081484,4,4.2,4.2,5.8,3.6,4.6,4.6,26.7,7.06,2235,3,5,44,2205160
251,20110279,6,4,5.6,3.1,3.6,3.3,4.3,41.3,8.88,5559,541,1268,60626,2202509
252,20149569,4.6,4.4,5.6,4.7,3.6,4.6,5.8,43.8,7.63,7374,58,65,12711,2192525
253,20136888,4.3,4.5,5.6,5.8,6.6,3.6,7.1,48,7.13,8828,47,48,10822,2192276
